东方夏湾拿 4室2厅 东,东方夏湾拿,太平镇,4室2厅 ,363.96, 东 , 其他 ,3,2005, 平房,1,11,8500000.0,23355,VR房源 房本满五年 
人盛巴厘天地 3室2厅 南,人盛巴厘天地,神岗镇,3室2厅 ,127.0, 南 , 毛坯 ,17,2013, 塔楼,0, 2个月以前发布,1500000.0,11812,VR看装修 房本满两年 随时看房 
上城四房，255万，南向，看花园,上城湾畔东区,江浦街,4室2厅 ,145.0, 南 北 , 简装 ,17,2009, 塔楼,18, 一年前发布,2550000.0,17587,近地铁 VR看装修 房本满五年 随时看房 
华标荔苑  地铁口300米  证过二,华标荔苑,太平镇,3室1厅 ,88.73, 南 , 毛坯 ,6,2011, 塔楼,40, 一年前发布,1208000.0,13615,近地铁 VR看装修 房本满两年 随时看房 
此房满二，户型朝南，视野宽阔，采光好,大城云山,太平镇,3室2厅 ,87.83, 南 , 毛坯 ,17,2016, 塔楼,4, 4个月以前发布,1280000.0,14574,近地铁 VR看装修 房本满两年 随时看房 
空气清新 负离子空气  层望山景视野开阔配套完善,富力泉天下,温泉镇,2室1厅 ,81.44, 北 , 其他 ,18,2014, 塔楼,1, 3个月以前发布,950000.0,11666,VR看装修 房本满五年 随时看房 
荔林春晓 电梯高层3房2卫 户型方正,荔林春晓,太平镇,3室2厅 ,105.89, 南 , 其他 ,18,2016, 塔楼,3, 6个月以前发布,1380000.0,13033,近地铁 VR看装修 房本满两年 随时看房 
房子精装修复式 主卧是三层复式利用率高  地铁口500米,大城云山,太平镇,6室2厅 ,112.27, 东南 , 精装 ,11,2016, 塔楼,9, 10个月以前发布,2400000.0,21378,近地铁 VR房源 房本满五年 随时看房 
南北通透的格局，采光通风好，视野宽阔，空气清新。,方圆明月山溪,温泉镇,2室1厅 ,75.16, 南 北 , 精装 ,18,2014, 塔楼,9, 4个月以前发布,900000.0,11975,VR看装修 房本满五年 随时看房 
此房产权已满5，税费少，小区配套齐全.生活方便,人盛巴厘天地,神岗镇,3室1厅 ,123.41, 西北 , 简装 ,17,2012, 塔楼,12, 2个月以前发布,1300000.0,10534,VR看装修 房本满五年 随时看房 
联排中间位别墅，地上三层带地下室。户型方正,雅居乐小院流溪,赤草,5室2厅 ,291.45, 东南 , 其他 ,3, 塔楼 , 联排别墅 ,2, 1个月以前发布,3880000.0,13313,VR房源 房本满两年 随时看房 
诚意出售 温泉旅游区  拥有丰富的原生态资源,方圆明月山溪,温泉镇,3室2厅 ,160.46, 南 , 精装 ,16,2011, 塔楼,2, 6个月以前发布,1750000.0,10907,VR看装修 随时看房 
证满二 实用三居室，房间实用面积大，公摊少,爱尚流溪,江浦街,3室2厅 ,87.64, 北 , 毛坯 ,24,2014, 塔楼,4, 5个月以前发布,990000.0,11297,VR看装修 房本满两年 随时看房 
上城湾畔B区     复式二房,上城湾畔B区,江浦街,2室1厅 ,96.37, 北 , 精装 ,10,2009, 塔楼,16, 一年前发布,1750000.0,18160,近地铁 VR房源 房本满五年 
珠光山水御苑实用三房户型、、、,珠光山水御苑,江浦街,3室2厅 ,102.89, 东南 , 毛坯 ,32,2014, 塔楼,1, 一年前发布,1440000.0,13996,VR看装修 房本满两年 
人盛巴厘天地 小区配套 成熟管理 交通便捷。,人盛巴厘天地,神岗镇,3室2厅 ,108.22, 南 , 精装 ,17,2012, 塔楼,1, 5个月以前发布,1460000.0,13492,VR看装修 房本满五年 
地铁口物业 大城云山 环境优美,大城云山,太平镇,3室2厅 ,125.04, 东北 , 精装 ,17,2016, 塔楼,2, 一年前发布,2100000.0,16795,近地铁 VR看装修 房本满两年 
巴厘天地 刚需三房 装修新净 配套完善,人盛巴厘天地,神岗镇,3室2厅 ,122.0, 南 , 精装 ,17,2011, 塔楼,2, 一年前发布,1500000.0,12296,VR看装修 房本满两年 
房子采光通风明亮 间隔方正实用,君源御湖城,江浦街,2室1厅 ,81.73, 南 , 精装 ,16,2011, 塔楼,10, 7个月以前发布,880000.0,10768,VR看装修 房本满两年 
小区交通便利，环境舒适，配套完善,人盛巴厘天地,神岗镇,3室2厅 ,111.32, 东南 , 毛坯 ,17,2012, 塔楼,0, 5个月以前发布,1410000.0,12667,VR看装修 房本满两年 
上湾畔B区，精装修，格局好，地铁口，视野开阔,上城湾畔B区,江浦街,3室2厅 ,116.13, 西北 , 精装 ,10,2009, 塔楼,14, 一年前发布,2200000.0,18945,近地铁 VR看装修 房本满五年 
紫泉 一楼带花园 低税费 简装修 适合老人家居住,紫泉翠荔嘉园,太平镇,2室1厅 ,67.52, 西南 , 简装 ,6,2008, 塔楼,41, 一年前发布,1200000.0,17773,VR房源 房本满五年 
紫泉流溪湾  电梯精装三房  视野开阔,紫泉流溪湾,太平镇,3室1厅 ,90.53, 东南 , 简装 ,18,2013, 板楼,1, 9个月以前发布,1580000.0,17453,VR看装修 房本满两年 
小区绿化好，交通便利，生活配套成熟,人盛巴厘天地,神岗镇,3室1厅 ,108.99, 南 , 其他 ,17,2012, 塔楼,0, 4个月以前发布,1350000.0,12387,VR看装修 房本满两年 
紫泉翠荔嘉园  低楼层  3房,紫泉翠荔嘉园,太平镇,3室2厅 ,89.77, 南 , 精装 ,6,2008, 塔楼,15, 一年前发布,1300000.0,14482,VR看装修 房本满五年 
星汇峰 电梯两房 业主诚心出售，随时看房,星汇峰,太平镇,2室1厅 ,79.99, 南 , 毛坯 ,12,2010, 塔楼,32, 8个月以前发布,900000.0,11252,VR看装修 房本满两年 随时看房 
紫泉翠荔嘉园  电梯精装两房 税费低,紫泉翠荔嘉园,太平镇,2室1厅 ,72.6, 东北 , 精装 ,18,2009, 塔楼,14, 2个月以前发布,1025000.0,14119,VR看装修 房本满两年 随时看房 
急卖急卖  地铁物业 毛坯 东南向 地铁口800米,大城云山,太平镇,2室1厅 ,83.19, 东北 , 毛坯 ,11,2016, 塔楼,29, 2个月以前发布,1070000.0,12863,近地铁 VR看装修 房本满五年 随时看房 
地铁就在大城云山门口 电梯洋房,大城云山,太平镇,3室2厅 ,96.42, 东北 , 毛坯 ,9,2016, 塔楼,20, 一年前发布,1250000.0,12965,近地铁 VR看装修 房本满五年 随时看房 
人盛巴厘天地。格局通透，环境安静！,人盛巴厘天地,神岗镇,2室2厅 ,84.97, 南 , 毛坯 ,17,2010, 塔楼,13, 2个月以前发布,830000.0,9769,VR看装修 房本满五年 随时看房 
住家好户型，低层带花园，交通出行更方便,紫泉翠荔嘉园,太平镇,2室2厅 ,67.46, 东南 , 简装 ,6,2007, 塔楼,5, 3个月以前发布,1190000.0,17641,VR看装修 房本满五年 随时看房 
中高层，户型好，配套完善，交通方便,云星钱隆天誉,太平镇,2室2厅 ,69.57, 西北 , 毛坯 ,25,2016, 塔楼,0, 1个月以前发布,950000.0,13656,VR看装修 房本满两年 随时看房 
地铁物业  大城云山电梯两房  税费低 看房方便,大城云山,太平镇,2室1厅 ,92.3, 东南 , 其他 ,17,2016, 塔楼,8, 3个月以前发布,1300000.0,14085,近地铁 VR看装修 房本满两年 随时看房 
"荔林春晓 地铁口盘,楼下商圈 依山伴水",荔林春晓,太平镇,3室1厅 ,94.33, 东北 , 毛坯 ,18,2016, 塔楼,105, 10个月以前发布,1150000.0,12192,近地铁 VR看装修 房本满两年 随时看房 
视野开阔，户型采光充足，毛坯可自行装修喜欢的风格,大城云山,太平镇,3室2厅 ,92.63, 西南 , 毛坯 ,17,2016, 塔楼,51, 3个月以前发布,1180000.0,12739,近地铁 VR看装修 房本满两年 随时看房 
富力泉天下望山两房中高层位置安静舒适,富力泉天下,温泉镇,2室2厅 ,81.44, 北 , 其他 ,18,2014, 塔楼,2, 3个月以前发布,930000.0,11420,VR看装修 房本满两年 
此房3房2厅，带入户花园，税费低，配套完善，交通方便,星汇峰,太平镇,3室2厅 ,108.79, 西南 , 简装 ,12,2010, 塔楼,1, 4个月以前发布,1400000.0,12869,VR看装修 房本满五年 
珠江壹城 5室2厅 西南,珠江壹城,神岗镇,5室2厅 ,368.41, 西南 , 毛坯 ,2, 板塔结合 , 独栋别墅 ,0, 7个月以前发布,5100000.0,13844,VR房源 房本满两年 
紫泉流溪湾，奢华4房双主套，远眺流溪河，前后无遮挡,紫泉流溪湾,太平镇,4室2厅 ,186.27, 南 , 毛坯 ,10,2012, 板楼,4, 一年前发布,2400000.0,12885,VR看装修 房本满两年 
配套完善， 交通便利 ，户型方正实用， 楼距间宽,爱尚流溪,江浦街,4室2厅 ,128.57, 南 , 其他 ,23,2014, 塔楼,4, 8个月以前发布,1300000.0,10112,VR看装修 房本满五年 
入户花园 视野无遮挡 采光充足 环境优美 安静舒适,人盛巴厘天地,神岗镇,2室2厅 ,84.91, 南 北 , 精装 ,17,2012, 塔楼,11, 一年前发布,1200000.0,14133,VR看装修 房本满五年 
越秀设计全明房过二低税实用三房,逸泉映翠,江浦街,3室1厅 ,99.41, 北 , 其他 ,21,2014, 塔楼,8, 一年前发布,1150000.0,11569,VR看装修 房本满两年 
紫泉翠荔嘉园  低楼层  3房,紫泉翠荔嘉园,太平镇,3室2厅 ,89.77, 南 , 精装 ,6,2008, 塔楼,15, 一年前发布,1300000.0,14482,VR看装修 房本满五年 
双阳台对流，望流溪河，通风采光好,人盛巴厘天地,神岗镇,3室2厅 ,107.96, 东南 , 精装 ,17,2012, 塔楼,2, 3个月以前发布,1350000.0,12505,VR房源 房本满五年 
巴塞阳光 流溪河旁 3房2厅 装修保养得当拎包即可入住,宏润巴塞阳光,河滨北路,3室2厅 ,121.31, 东南 , 其他 ,13,2008, 塔楼,4, 一年前发布,1700000.0,14014,VR看装修 房本满五年 
巴厘天地，三房带装修，中楼层，适合自住。,人盛巴厘天地,神岗镇,3室2厅 ,112.0, 南 , 精装 ,17,2013, 塔楼,6, 7个月以前发布,1400000.0,12500,VR看装修 房本满五年 
此房满五年，望小区花园，红本在手，客厅出阳台，南向,星汇峰,太平镇,3室2厅 ,100.08, 东南 , 其他 ,6,2010, 平房,0, 9个月以前发布,1370000.0,13690,VR看装修 房本满五年 
雅居乐小院流溪地铁物业景色宜人品质大4房,雅居乐小院流溪,赤草,4室2厅 ,116.53, 西 , 精装 ,16,2015, 塔楼,10, 一年前发布,1530000.0,13130,VR房源 房本满两年 
南北对流.离地铁近.交通方便.！,逸泉山庄,赤草,2室2厅 ,86.84, 南 , 精装 ,15,2010, 塔楼,155, 一年前发布,1130000.0,13013,近地铁 VR看装修 房本满两年 
夏日港湾    精装修   大三房,夏日港湾,江浦街,3室1厅 ,122.28, 东南 , 精装 ,21,2004, 塔楼,6, 一年前发布,2200000.0,17992,VR房源 房本满五年 
业主需要名而换房 诚意出售 价格可以商量 约看,利泰花林湖畔,鳌头镇,3室2厅 ,106.08, 南 , 精装 ,9,2012, 塔楼,0, 一年前发布,1790000.0,16875,VR看装修 房本满两年 
14号地铁线 环境优美  临流溪河 拥一线河景,雅居乐小院流溪,赤草,3室2厅 ,110.92, 东南 , 精装 ,16,2015, 塔楼,1, 7个月以前发布,1800000.0,16228,VR看装修 房本满两年 
珠光流溪御景140万业主诚意出售,珠光流溪御景,赤草,3室2厅 ,97.32, 北 , 精装 ,27,2012, 塔楼,4, 一年前发布,1400000.0,14386,VR看装修 房本满两年 
巴塞阳光 流溪河旁 3房2厅 装修保养得当拎包即可入住,宏润巴塞阳光,河滨北路,3室2厅 ,121.31, 东南 , 其他 ,13,2008, 塔楼,4, 一年前发布,1700000.0,14014,VR看装修 房本满五年 
此房满五年，望小区花园，红本在手，客厅出阳台，南向,星汇峰,太平镇,3室2厅 ,100.08, 东南 , 其他 ,6,2010, 平房,0, 9个月以前发布,1370000.0,13690,VR看装修 房本满五年 
雅居乐小院流溪地铁物业景色宜人品质大4房,雅居乐小院流溪,赤草,4室2厅 ,116.53, 西 , 精装 ,16,2015, 塔楼,10, 一年前发布,1530000.0,13130,VR房源 房本满两年 
南北对流.离地铁近.交通方便.！,逸泉山庄,赤草,2室2厅 ,86.84, 南 , 精装 ,15,2010, 塔楼,155, 一年前发布,1130000.0,13013,近地铁 VR看装修 房本满两年 
华标荔苑  地铁口300米 周  边配套齐全,华标荔苑,太平镇,2室1厅 ,90.8, 东南 东北 , 简装 ,12,2013, 塔楼,3, 2个月以前发布,1450000.0,15970,近地铁 VR看装修 房本满两年 
紫泉翠荔嘉园   户型方正   朝向好   楼层靓,紫泉翠荔嘉园,太平镇,3室2厅 ,106.09, 北 , 精装 ,6,2006, 塔楼,30, 一年前发布,1360000.0,12820,VR看装修 房本满五年 
紫泉流溪 湾精装修 南向  两房改三房,紫泉流溪湾,太平镇,3室2厅 ,76.6, 东南 , 精装 ,17,2012, 板楼,16, 10个月以前发布,1080000.0,14100,VR房源 房本满两年 
此房满二，改善房型厅大房大，带入户花园,星汇峰,太平镇,3室2厅 ,108.78, 南 , 精装 ,12,2010, 塔楼,0, 2个月以前发布,1620000.0,14893,VR看装修 房本满两年 
富力泉天下 独栋别墅 有山有水 鸟语花香 不看后悔,富力泉天下,温泉镇,5室2厅 ,227.0, 南 , 精装 ,3, 塔楼 , 独栋别墅 ,11, 2个月以前发布,3000000.0,13216,VR房源 房本满五年 
钱隆天誉高层电梯大三房  无遮挡,云星钱隆天誉,太平镇,3室2厅 ,96.94, 南 , 毛坯 ,25,2016, 塔楼,5, 一年前发布,1350000.0,13927,VR看装修 房本满两年 
一线江景，装修新净，位置优越。,夏日港湾,江浦街,3室2厅 ,125.01, 西 , 精装 ,21,2004, 塔楼,16, 一年前发布,2100000.0,16799,VR房源 房本满五年 
花林湖畔 靓楼层  视野好  证过五年且唯一一套,利泰花林湖畔,鳌头镇,3室2厅 ,94.25, 东 , 毛坯 ,11,2012, 塔楼,19, 6个月以前发布,740000.0,7852,VR看装修 房本满五年 
精装修、证过二、实用两居室。。,逸泉映翠,江浦街,2室1厅 ,76.63, 东 北 , 精装 ,24,2014, 塔楼,3, 6个月以前发布,1000000.0,13050,VR看装修 房本满两年 
此房证满两年，采光好，中高楼层，视野开阔，有电梯,人盛巴厘天地,神岗镇,2室2厅 ,82.0, 东南 , 毛坯 ,10,2013, 塔楼,9, 9个月以前发布,850000.0,10366,VR看装修 房本满两年 随时看房 
叠墅舒适四房，满两年，税费低，碧桂园大品牌,荔山雅筑,赤草,4室2厅 ,131.6, 南 , 毛坯 ,5,2013, 塔楼,4, 10个月以前发布,2000000.0,15198,VR房源 房本满两年 随时看房 
花林湖畔 94平3室 证满2年 房本在手 业主诚心出售,利泰花林湖畔,鳌头镇,3室2厅 ,94.0, 北 , 毛坯 ,9,2012, 塔楼,9, 一年前发布,810000.0,8618,VR看装修 房本满两年 随时看房 
地铁物业 华标荔苑电梯毛坯两房 此房满二 南北对流,华标荔苑,太平镇,2室2厅 ,91.74, 西南 , 毛坯 ,12,2013, 塔楼,1, 一年前发布,1550000.0,16896,近地铁 VR看装修 房本满两年 随时看房 
小区配套齐全 绿化覆盖率高自带幼儿园游泳池蓝球场,紫泉翠荔嘉园,太平镇,4室1厅 ,124.62, 东南 , 毛坯 ,6,2008, 板楼,1, 1个月以前发布,1480000.0,11877,VR看装修 房本满五年 随时看房 
逸泉映翠  南向 高层望流溪河 一线光景 希有户型,逸泉映翠,江浦街,3室2厅 ,96.0, 南 , 毛坯 ,24,2014, 塔楼,3, 2个月以前发布,1030000.0,10730,VR看装修 房本满两年 随时看房 
环境优美，生活便利、很适合居住。,人盛巴厘天地,神岗镇,2室1厅 ,82.0, 南 , 毛坯 ,17,2012, 塔楼,5, 一年前发布,947000.0,11549,VR看装修 房本满两年 随时看房 
荔山雅筑 碧桂园物业 地铁14号线赤草站物业,荔山雅筑,赤草,3室2厅 ,86.47, 东南 , 精装 ,6,2010, 塔楼,9, 9个月以前发布,1350000.0,15613,近地铁 VR看装修 房本满两年 随时看房 
业主急售  方圆明月山溪   舒适度假单间,方圆明月山溪,温泉镇,1室1厅 ,39.55, 南 , 精装 ,11,2014, 塔楼,106, 一年前发布,420000.0,10620,VR看装修 房本满五年 随时看房 
格局方正，户型对流，望花园，采光通风佳,爱尚流溪,江浦街,3室2厅 ,87.99, 北 , 毛坯 ,23,2014, 塔楼,20, 8个月以前发布,900000.0,10229,VR看装修 房本满两年 随时看房 
户型通透，采光良好，景色优美，可以望流溪河,紫泉流溪湾,太平镇,2室2厅 ,78.66, 西北 , 精装 ,18,2013, 板楼,0, 5个月以前发布,1100000.0,13985,VR看装修 房本满两年 随时看房 
地铁公寓，可以返租给酒店，装修保养好，单价便宜,新光百德广场,太平镇,1室0厅 ,44.55, 南 北 , 精装 ,16,2014, 塔楼,75, 一年前发布,350000.0,7857,近地铁 房本满两年 随时看房 
星汇峰 电梯两房 业主诚心出售，随时看房,星汇峰,太平镇,2室1厅 ,79.99, 南 , 毛坯 ,12,2010, 塔楼,32, 8个月以前发布,900000.0,11252,VR看装修 房本满两年 随时看房 
急卖急卖  地铁物业 毛坯 东南向 地铁口800米,大城云山,太平镇,2室1厅 ,83.19, 东北 , 毛坯 ,11,2016, 塔楼,29, 2个月以前发布,1070000.0,12863,近地铁 VR看装修 房本满五年 随时看房 
东方夏湾拿花园低密度住，单边位，精装修,东方夏湾拿,太平镇,5室2厅 ,208.15, 东 南 北 , 简装 ,3, 板塔结合 , 独栋别墅 ,7, 4个月以前发布,3800000.0,18257,VR房源 房本满五年 
配套设施齐全，户户有私家花园，视野宽阔、管理严谨,珠江壹城,神岗镇,7室4厅 ,354.31, 东南 , 精装 ,2, 板塔结合 , 独栋别墅 ,9, 3个月以前发布,4450000.0,12560,VR房源 随时看房 
此房满两年，南北对流，采光充足，交通便利,紫泉流溪湾,太平镇,2室2厅 ,76.61, 东南 , 其他 ,17,2012, 板楼,3, 6个月以前发布,1000000.0,13054,VR看装修 房本满两年 随时看房 
大三房户型，两梯两户，价钱优美，环境没得顶。,人盛巴厘天地,神岗镇,3室2厅 ,102.99, 南 , 其他 ,17,2012, 塔楼,2, 4个月以前发布,1078000.0,10468,VR看装修 房本满两年 随时看房 
双阳台设计 对流户型 背靠流溪河 ，生活配套齐全,人盛巴厘天地,神岗镇,2室1厅 ,82.88, 东南 , 其他 ,17,2013, 塔楼,0, 1个月以前发布,1070000.0,12911,VR看装修 房本满两年 随时看房 
地铁物业，毛坯南向靓楼层，证过二,大城云山,太平镇,3室2厅 ,92.63, 西南 , 毛坯 ,17,2016, 塔楼,93, 5个月以前发布,1140000.0,12308,近地铁 VR看装修 房本满两年 随时看房 
珠光山水御苑 4室2厅 南 北,珠光山水御苑,江浦街,4室2厅 ,102.42, 南 北 , 其他 ,31,2014, 塔楼,0, 1个月以前发布,1200000.0,11717,VR看装修 房本满两年 随时看房 
此房满两年，南向格局好，采光充足，配套设施齐全,华标荔苑,太平镇,2室1厅 ,91.63, 南 , 精装 ,12,2013, 塔楼,10, 10个月以前发布,1380000.0,15061,近地铁 VR看装修 房本满五年 随时看房 
珠江壹城 4室2厅 西南,珠江壹城,神岗镇,4室2厅 ,196.47, 西南 , 其他 ,28,2003, 板塔结合,14, 10个月以前发布,2490000.0,12674,VR房源 房本满两年 随时看房 
富力泉天下 大面积一房一厅  天然温泉,富力泉天下,温泉镇,1室1厅 ,78.79, 南 , 其他 ,7,2014, 塔楼,8, 一年前发布,800000.0,10154,VR看装修 房本满五年 随时看房 
"房子通风性能好，朝向好,通风通透性好，",华标荔苑,太平镇,1室1厅 ,45.98, 东南 东北 , 其他 ,6,2013, 塔楼,9, 6个月以前发布,700000.0,15225,近地铁 VR看装修 房本满两年 随时看房 
装修新净，家私家电齐全，朝南，光线充足,人盛巴厘天地,神岗镇,3室2厅 ,120.52, 南 北 , 精装 ,17,2012, 塔楼,2, 10个月以前发布,1390000.0,11534,VR看装修 房本满五年 
星河绿洲 3室2厅 南 北,星河绿洲,江浦街,3室2厅 ,102.26, 南 北 , 精装 ,8,2009, 塔楼,3, 1个月以前发布,1230000.0,12029,VR看装修 房本满五年 
环境优雅、户型方正雅居乐小院流溪笋盘出售,雅居乐小院流溪,赤草,3室2厅 ,116.32, 西北 北 , 毛坯 ,18,2012, 塔楼,2, 一年前发布,1500000.0,12896,VR看装修 房本满两年 
中等楼层，业主急售！！！！！！！！！！！,人盛巴厘天地,神岗镇,2室2厅 ,81.2, 西南 , 毛坯 ,10,2013, 塔楼,4, 一年前发布,1050000.0,12932,VR看装修 房本满五年 
珠光山水御苑 大入户花园 精装4房户型 南北通透,珠光山水御苑,江浦街,4室1厅 ,102.51, 南 北 , 精装 ,30,2016, 塔楼,8, 2个月以前发布,1200000.0,11707,VR看装修 房本满两年 
君源御湖城 3室1厅 南,君源御湖城,江浦街,3室1厅 ,104.23, 南 , 毛坯 ,16,2011, 塔楼,6, 1个月以前发布,1000000.0,9595,VR看装修 房本满五年 
利泰花林湖畔，两房两厅，满两年，业主诚意出售！,利泰花林湖畔,鳌头镇,2室2厅 ,95.63, 北 , 毛坯 ,11,2012, 塔楼,6, 一年前发布,840000.0,8784,VR看装修 房本满五年 
总价低 生活方便 交通便捷 诚心出售,回归路小区,太平镇,3室2厅 ,94.32, 南 , 简装 ,8,2000, 塔楼,5, 2个月以前发布,800000.0,8482,VR看装修 房本满两年 
雅居乐滨江花园，（2-2-1-1 81.00m² 205 万）,雅居乐滨江花园,江浦街,2室2厅 ,81.0, 北 , 精装 ,12,2007, 塔楼,9, 一年前发布,1850000.0,22840,VR看装修 房本满五年 
利泰花林湖畔  实用两房两厅 业主诚意出售,利泰花林湖畔,鳌头镇,2室2厅 ,79.49, 东南 , 毛坯 ,9,2012, 塔楼,1, 一年前发布,800000.0,10065,VR看装修 房本满五年 
配套成熟小区 过五唯一 实用率高 刚需户型,紫泉翠荔嘉园,太平镇,3室2厅 ,105.17, 东南 南 , 简装 ,6,2006, 板楼,22, 一年前发布,1330000.0,12647,VR看装修 房本满五年 
巴厘天地  2室2厅 中高楼层,人盛巴厘天地,神岗镇,2室2厅 ,81.0, 东北 , 毛坯 ,10,2013, 塔楼,1, 一年前发布,980000.0,12099,VR看装修 房本满五年 
紫泉翠荔嘉园精装2房 配套成熟小区 税费低,紫泉翠荔嘉园,太平镇,2室1厅 ,67.33, 南 , 精装 ,6,2008, 塔楼,75, 一年前发布,980000.0,14556,VR看装修 房本满五年 
紫泉流溪湾  视野开阔 安静舒适,紫泉流溪湾,太平镇,3室2厅 ,88.67, 北 , 精装 ,17,2012, 板楼,1, 8个月以前发布,1280000.0,14436,VR看装修 房本满两年 
上城地铁口大三房，满五，南北对流，户型方正,上城湾畔B区,江浦街,3室2厅 ,117.86, 南 , 毛坯 ,17,2009, 塔楼,3, 一年前发布,2200000.0,18667,近地铁 VR看装修 房本满五年 
夏湾拿洋房价格住别墅，南北对流，百变户型,东方夏湾拿,太平镇,2室2厅 ,121.55, 东南 , 简装 ,3,2010, 板塔结合,64, 一年前发布,1150000.0,9462,VR看装修 房本满两年 
丰盈雅居 近地铁 精装2房 证过2年税费低 看房方便,丰盈雅居,太平镇,2室2厅 ,72.2, 东南 , 简装 ,6,2010, 塔楼,4, 一年前发布,820000.0,11358,VR房源 房本满五年 
富力泉天下 4室2厅 南,富力泉天下,温泉镇,4室2厅 ,148.19, 南 , 精装 ,18,2014, 塔楼,2, 1个月以前发布,1570000.0,10595,VR看装修 房本满五年 
富力泉天下 南向 望流溪河 希有单边位  温馨三房,富力泉天下,温泉镇,3室1厅 ,110.13, 东南 , 精装 ,18,2014, 塔楼,1, 1个月以前发布,1280000.0,11623,VR看装修 房本满五年 
回归路小区  税费低装修新净 业主诚意卖,回归路小区,太平镇,3室2厅 ,100.44, 东 , 简装 ,8,1995, 暂无数据,3, 一年前发布,1200000.0,11948,VR看装修 房本满五年 
华标荔苑 地铁口物业 过二 灵动设计,华标荔苑,太平镇,2室2厅 ,88.0, 南 , 毛坯 ,6,2013, 塔楼,2, 一年前发布,1350000.0,15341,近地铁 VR看装修 房本满五年 
紫泉翠荔嘉园，带装修，采光充足 朝南,紫泉翠荔嘉园,太平镇,2室2厅 ,76.69, 东南 , 简装 ,6,2008, 塔楼,9, 8个月以前发布,980000.0,12779,VR看装修 房本满五年 
房子纯正南向无遮挡视野，三房两厅两卫空气流通房,云星钱隆天誉,太平镇,3室2厅 ,93.49, 东南 , 简装 ,25,2016, 塔楼,15, 3个月以前发布,1300000.0,13906,VR看装修 房本满两年 
富力泉天下 养生大盘 联排别墅 精装 小区环境优美,富力泉天下,温泉镇,5室2厅 ,166.11, 西南 , 精装 ,3, 塔楼 , 联排别墅 ,50, 2个月以前发布,1990000.0,11981,VR房源 房本满五年 
南北对流电梯洋房，户型方正四房，拎包入住,紫泉翠荔嘉园,太平镇,4室2厅 ,138.05, 西南 , 精装 ,18,2009, 塔楼,0, 9个月以前发布,2075000.0,15031,VR看装修 房本满五年 
地铁口，交通便利，环境优美，视野开阔,大城云山,太平镇,3室2厅 ,125.04, 东南 , 精装 ,17,2016, 塔楼,9, 一年前发布,1800000.0,14396,近地铁 VR看装修 房本满五年 
华标荔苑 过二 地铁口物业 交通方便 灵动设计,华标荔苑,太平镇,2室2厅 ,92.0, 东南 , 毛坯 ,6,2013, 塔楼,1, 一年前发布,1350000.0,14674,近地铁 VR看装修 房本满五年 
电梯精装两房  过年红本在手 实用高 拎包入住 户型正,星汇峰,太平镇,2室2厅 ,74.3, 南 北 , 精装 ,9,2010, 塔楼,50, 一年前发布,920000.0,12383,VR看装修 房本满五年 
雅居乐开发管理 紧·邻流溪河 环境优美 大四房,雅居乐小院流溪,赤草,4室2厅 ,117.86, 东南 , 精装 ,16,2015, 塔楼,4, 1个月以前发布,1590000.0,13491,VR看装修 房本满两年 
小区生活配套齐全，高档安静小区，环境好，交通便利,上城湾畔B区,江浦街,2室2厅 ,68.31, 西 , 简装 ,10,2009, 塔楼,3, 2个月以前发布,1680000.0,24594,近地铁 VR看装修 房本满两年 
利泰花林湖畔，两房两厅，满两年，业主诚意出售！,利泰花林湖畔,鳌头镇,2室2厅 ,95.63, 北 , 毛坯 ,11,2012, 塔楼,6, 一年前发布,840000.0,8784,VR看装修 房本满五年 
丰盈雅居 近地铁 精装2房 证过2年税费低 看房方便,丰盈雅居,太平镇,2室2厅 ,72.2, 东南 , 简装 ,6,2010, 塔楼,4, 一年前发布,820000.0,11358,VR房源 房本满五年 
楼层好，视野开阔，南向户型采光充足，小区环境好,大城云山,太平镇,3室1厅 ,96.28, 东北 , 简装 ,11,2016, 塔楼,2, 6个月以前发布,1550000.0,16099,近地铁 VR看装修 房本满五年 
上城地铁口大三房，满五，南北对流，户型方正,上城湾畔B区,江浦街,3室2厅 ,117.86, 南 , 毛坯 ,17,2009, 塔楼,3, 一年前发布,2200000.0,18667,近地铁 VR看装修 房本满五年 
紫泉翠荔嘉园精装2房 配套成熟小区 税费低,紫泉翠荔嘉园,太平镇,2室1厅 ,67.33, 南 , 精装 ,6,2008, 塔楼,75, 一年前发布,980000.0,14556,VR看装修 房本满五年 
雅居乐滨江花园，（2-2-1-1 81.00m² 205 万）,雅居乐滨江花园,江浦街,2室2厅 ,81.0, 北 , 精装 ,12,2007, 塔楼,9, 一年前发布,1850000.0,22840,VR看装修 房本满五年 
巴厘天地  2室2厅 中高楼层,人盛巴厘天地,神岗镇,2室2厅 ,81.0, 东北 , 毛坯 ,10,2013, 塔楼,1, 一年前发布,980000.0,12099,VR看装修 房本满五年 
紫泉流溪湾  视野开阔 安静舒适,紫泉流溪湾,太平镇,3室2厅 ,88.67, 北 , 精装 ,17,2012, 板楼,1, 8个月以前发布,1280000.0,14436,VR看装修 房本满两年 
户型阳光充足通风好，带装修，证过二，拎包入住,逸泉映翠,江浦街,3室2厅 ,99.6, 南 , 精装 ,23,2014, 塔楼,1, 8个月以前发布,1350000.0,13555,VR看装修 房本满两年 
