旭景家园 实用三房 厅出阳台 保养好 安静带花园,旭景家园,东圃,3室2厅 ,106.97, 北 , 简装 ,11,2002, 塔楼,14,23,5200000.0,48612,VR房源 房本满五年 
户型方正，居住舒适，交通方便。,金碧翡翠华庭,天润路,2室1厅 ,73.18, 南 , 简装 ,5,2007, 塔楼,66, 一年前发布,3300000.0,45095,近地铁 房本满两年 
户型方正，南北通风，3楼自带小花园,棠德花园,棠下,2室1厅 ,69.03, 北 , 简装 ,29,1997, 塔楼,16, 6个月以前发布,2490000.0,36072,VR看装修 房本满五年 
天鹅花苑 一期南向大四房 户型方正 业主诚售,天鹅花苑,长兴,4室2厅 ,123.65, 南 , 精装 ,6,2003, 塔楼,16, 一年前发布,4800000.0,38820,近地铁 VR房源 房本满五年 
富信广场正南向高楼层两房望小蛮腰,富信广场,沙河,2室2厅 ,90.45, 南 , 其他 ,30,1994, 塔楼,2, 一年前发布,3780000.0,41792,近地铁 VR房源 房本满五年 
濂泉西路95号大院 政府微改造项目   户型全明通风,濂泉西路95号大院,沙河,2室1厅 ,69.46, 东 , 其他 ,9,1990, 塔楼,6, 9个月以前发布,1980000.0,28506,VR看装修 房本满五年 
豪景花园自改四房，户型方正，采光通风好,豪景花园,沙河,4室1厅 ,116.05, 西南 , 简装 ,20,2004, 塔楼,6, 4个月以前发布,4600000.0,39639,VR房源 房本满五年 
濂泉西路95号大院  大院管理 中楼层 精装修 三房,濂泉西路95号大院,沙河,3室1厅 ,63.0, 北 , 其他 ,9,1991, 塔楼,1, 3个月以前发布,2080000.0,33016,近地铁 VR看装修 房本满五年 
电梯高层东向两房，通风采光好，宽敞通透，实用率高,乐意居花园,长兴,2室1厅 ,67.25, 东 , 精装 ,9,1999, 塔楼,15, 10个月以前发布,2600000.0,38662,VR看装修 房本满五年 
省工艺 南北对流方正两房 闹中取静 满五年,省工艺大院,体育中心,2室2厅 ,79.33, 南 北 , 其他 ,8,1994, 塔楼,36, 9个月以前发布,3600000.0,45381,VR看装修 房本满五年 
橡树园精装修三房一厅，业主诚心出售,橡树园,沙太南,3室1厅 ,93.0, 南 , 简装 ,17,2004, 塔楼,29, 5个月以前发布,4000000.0,43011,VR看装修 房本满两年 
福泉楼：格局方正 ，电梯房，出行较方便。,福泉楼,沙河,2室1厅 ,63.71, 东北 , 简装 ,31,1995, 塔楼,15, 一年前发布,2160000.0,33904,VR看装修 房本满五年 
冠庭园 正规三房  望小区花园 安静舒适 总价低,冠庭园,沙河,3室2厅 ,94.0, 北 , 简装 ,6,2001, 塔楼,5, 4个月以前发布,3100000.0,32979,VR房源 房本满五年 
准电梯 费用已交 单边位 全明格局 一梯一户 近地铁口,陶苑小区,沙太南,2室2厅 ,83.4, 西 , 简装 ,9,1993, 塔楼,20, 7个月以前发布,2300000.0,27578,VR看装修 房本满五年 
植物园旁边的房子  天然氧吧  环境好,君林天下,龙洞,5室2厅 ,349.15, 南 , 精装 ,24,2003, 塔楼,2, 3个月以前发布,15880000.0,45482,近地铁 VR房源 房本满两年 
楼层佳，东南向三房，九成利用率，安静舒适,中山三院宿舍,石牌,3室2厅 ,89.48, 东南 , 其他 ,9,1990, 塔楼,3, 3个月以前发布,5800000.0,64819,VR看装修 房本满五年 
乐意居两房 户型方正 采光通风好 视野开阔,乐意居花园,长兴,2室1厅 ,58.0, 北 , 简装 ,9,1999, 塔楼,25, 一年前发布,2000000.0,34483,VR看装修 房本满两年 
伍仙花园A区 2室2厅 南,伍仙花园A区,沙太南,2室2厅 ,67.11, 南 , 其他 ,11,2002, 塔楼,2, 2个月以前发布,2900000.0,43213,VR看装修 房本满两年 
金燕花园四房，厅出阳台，南北对流，格局方正,金燕花园,粤垦,4室2厅 ,93.87, 东 南 , 其他 ,9,1999, 塔楼,25, 一年前发布,3950000.0,42080,VR看装修 房本满五年 
天河北苑 一房一厅 小区带公立幼儿园  燕塘地铁800米,天河北苑,沙太南,1室1厅 ,43.8, 东北 , 其他 ,9,1998, 塔楼,34, 7个月以前发布,1440000.0,32877,近地铁 VR看装修 房本满五年 
恒康阁 3室2厅 北,恒康阁,林和,3室2厅 ,115.58, 北 , 其他 ,24,1999, 塔楼,2, 2个月以前发布,6500000.0,56239,近地铁 VR看装修 房本满五年 
金融城旁 棠德花园 户型好格局方正 位置安静,棠德花园,棠下,3室1厅 ,89.07, 西 , 精装 ,9,1997, 塔楼,20, 一年前发布,2680000.0,30089,近地铁 VR看装修 房本满五年 
业主诚心出售 装修保养好 安静望花园,天雅居,东圃,3室1厅 ,115.27, 西南 , 其他 ,13,1999, 塔楼,4, 6个月以前发布,3900000.0,33834,VR房源 房本满两年 
环宇花园 2室2厅 西北,环宇花园,天河公园,2室2厅 ,94.36, 西北 , 简装 ,9,1996, 塔楼,2, 1个月以前发布,4400000.0,46630,VR看装修 房本满两年 
天河区 燕塘粤垦路 金燕花园  三房两厅,金燕花园,粤垦,3室2厅 ,102.55, 北 , 其他 ,16,2004, 塔楼,18, 11个月以前发布,4300000.0,41931,VR看装修 房本满两年 
联发名苑 学院旁学院景观 户型通风很好,联发名苑,粤垦,3室2厅 ,96.25, 南 , 精装 ,9,1996, 塔楼,20, 一年前发布,2850000.0,29611,VR看装修 房本满五年 
天鹅花园实用2房，户型方正，看房方便,天鹅花苑,长兴,2室1厅 ,52.74, 南 , 其他 ,8,2003, 塔楼,1, 一年前发布,2250000.0,42663,近地铁 VR看装修 房本满五年 
天鹅花苑  东向三房  户型方正,天鹅花苑,长兴,3室1厅 ,128.18, 南 , 简装 ,6,2003, 塔楼,10, 一年前发布,4280000.0,33391,近地铁 VR房源 房本满两年 
银燕大厦东南向大三房，中楼层。,银燕大厦,燕塘,3室1厅 ,92.02, 东南 , 其他 ,24,1998, 塔楼,0, 1个月以前发布,3550000.0,38579,近地铁 VR房源 房本满两年 
高层电梯2房，视野开阔，采光好，格局方正,天鹅花苑,长兴,2室1厅 ,71.14, 北 , 简装 ,7,1993, 塔楼,1, 2个月以前发布,2800000.0,39360,近地铁 VR看装修 房本满五年 
低层小三房，格局方正，通风采光好。,阳光家园(天河),沙太南,3室2厅 ,67.31, 东北 , 简装 ,9,2002, 塔楼,12, 6个月以前发布,2430000.0,36102,VR房源 房本满两年 
优质小两房，居家刚刚好，赶快入手吧,海景中心,员村,2室1厅 ,82.74, 北 , 其他 ,27,1998, 塔楼,4, 3个月以前发布,3850000.0,46532,VR房源 房本满五年 
高层电梯2房，视野开阔，采光好，格局方正,天鹅花苑,长兴,2室1厅 ,71.14, 北 , 简装 ,7,1993, 塔楼,1, 2个月以前发布,2800000.0,39360,近地铁 VR看装修 房本满五年 
低层小三房，格局方正，通风采光好。,阳光家园(天河),沙太南,3室2厅 ,67.31, 东北 , 简装 ,9,2002, 塔楼,12, 6个月以前发布,2430000.0,36102,VR房源 房本满两年 
楼层好，视野宽阔，采光充足，配套设施齐全，交通便利,天鹅花苑,长兴,2室1厅 ,65.8, 东 , 其他 ,7,1993, 塔楼,0, 一年前发布,2650000.0,40274,近地铁 VR看装修 房本满五年 
南向双阳台 全明户型 望花园 空气好,冠庭园,沙河,2室1厅 ,77.2, 南 , 简装 ,6,2001, 塔楼,21, 一年前发布,2690000.0,34845,VR房源 房本满两年 
橡树园高楼层精装两房，阳台一线望白云山独有特色景观,橡树园,沙太南,2室2厅 ,81.91, 西北 , 精装 ,17,2004, 塔楼,3, 一年前发布,3480000.0,42486,VR看装修 房本满五年 
时代花生精装两房，业主急卖， 看房方便，,时代花生二期,沙太南,2室1厅 ,61.22, 北 , 精装 ,18,2008, 塔楼,21, 一年前发布,3100000.0,50638,VR看装修 房本满两年 
天利居 小区电梯房 采光好 业主诚心卖 方正两房,天利居,沙太南,2室1厅 ,88.57, 西 , 其他 ,11,2001, 塔楼,19, 7个月以前发布,2500000.0,28227,近地铁 VR看装修 房本满两年 
房子五年不唯一 采光充足 格局方正通透交通便利带花园,冠庭园,沙河,3室1厅 ,95.6, 南 , 精装 ,6,2001, 塔楼,4, 4个月以前发布,3660000.0,38285,VR看装修 房本满五年 
天鹅花苑 南向三房 视野开阔 交通方便,天鹅花苑,长兴,3室2厅 ,84.1, 南 , 简装 ,9,2003, 塔楼,15, 一年前发布,2950000.0,35078,近地铁 VR房源 房本满五年 
银燕大厦东南向大三房，中楼层。,银燕大厦,燕塘,3室1厅 ,92.02, 东南 , 其他 ,24,1998, 塔楼,0, 1个月以前发布,3550000.0,38579,近地铁 VR房源 房本满两年 
沙太南满五唯一 户型方正 精装修 品牌家私拎包入住,风行牛奶宿舍,沙太南,2室1厅 ,50.05, 南 , 精装 ,9,1996, 塔楼,15, 5个月以前发布,1680000.0,33567,VR房源 房本满五年 
电梯高层，南向景观好，通风采光好，实用率高,恒城大厦,天河南,3室1厅 ,94.3, 西南 , 简装 ,31,1998, 塔楼,15, 9个月以前发布,4720000.0,50054,VR看装修 房本满两年 
华工旁 方正两房 东边位南北对流 中层采光好,长福路,五山,2室2厅 ,83.86, 东南 , 其他 ,7,1997, 板楼,8, 5个月以前发布,3700000.0,44122,近地铁 VR房源 房本满五年 
格局方正通透 小区环境优美 交通便利,华南理工大学宿舍北区,五山,3室2厅 ,95.41, 西南 , 简装 ,9,2003, 塔楼,6, 7个月以前发布,8000000.0,83849,VR房源 房本满五年 
电梯房，视野宽阔，配套实施齐，进地铁！,银燕大厦,燕塘,2室1厅 ,102.96, 北 , 简装 ,24,1998, 塔楼,0, 8个月以前发布,3770000.0,36617,近地铁 VR看装修 房本满五年 
陶庄公安宿舍 精装修三房 采光通风好,陶庄公安宿舍,沙太南,3室1厅 ,85.78, 南 , 精装 ,8,1993, 塔楼,7, 6个月以前发布,2380000.0,27746,VR看装修 房本满两年 
交通方便 此房满五年唯一 方正2房 简单装修 东北朝向,风行牛奶宿舍,沙太南,2室1厅 ,53.51, 东南 , 简装 ,9,1996, 塔楼,89, 一年前发布,1380000.0,25790,VR看装修 房本满五年 
天一新村 实用三房 户型方正 安静,天一新村,粤垦,3室1厅 ,84.0, 北 , 简装 ,6,2004, 塔楼,41, 一年前发布,4500000.0,53572,VR看装修 房本满五年 
此房装修好，望花园，安静，户型方正,伍仙花园B区,沙太南,2室1厅 ,60.56, 东 , 精装 ,11,2002, 塔楼,14, 6个月以前发布,2450000.0,40456,VR看装修 房本满五年 
近金融城智慧城棠东地铁站 中高层南向三房 采光通风好,棠德花园,棠下,3室1厅 ,86.33, 南 , 简装 ,9,1997, 塔楼,2, 2个月以前发布,3100000.0,35909,近地铁 VR看装修 房本满五年 
岳洲路  地铁口 电梯三房  交通便利,岳洲路,五山,2室2厅 ,88.31, 南 , 简装 ,9,2000, 暂无数据,2, 一年前发布,5000000.0,56619,近地铁 VR房源 房本满五年 
业主诚心出售， 已加装电梯三房,馨怡花苑,天润路,3室1厅 ,75.0, 南 北 , 其他 ,9,1996, 塔楼,7, 3个月以前发布,3950000.0,52667,VR看装修 房本满五年 
嘉诚国际正规大两房 安静朝向 厅出阳台,嘉诚国际公寓,水荫,2室2厅 ,92.53, 西南 , 简装 ,29,2007, 塔楼,16, 2个月以前发布,4680000.0,50579,VR看装修 房本满两年 
棠德花园 电梯房飞机户型 厅出阳台 望小区花园,棠德花园,棠下,2室1厅 ,65.53, 北 , 精装 ,9,1997, 板楼,24, 一年前发布,2400000.0,36625,VR看装修 房本满两年 
三房两卫 双阳台 闹中取静 舒适,金燕花园,粤垦,3室1厅 ,95.24, 西 , 精装 ,26,2002, 塔楼,53, 8个月以前发布,3450000.0,36225,VR看装修 房本满五年 
棠德花园 正规两房 视野 光线 好i,棠德花园,棠下,2室1厅 ,56.28, 东 , 简装 ,10,1997, 塔楼,21, 一年前发布,1700000.0,30207,VR看装修 房本满五年 
本小区难得的户型出售  两房两厅两卫两阳台 厅大房大,豪景花园,沙河,3室2厅 ,122.66, 北 , 简装 ,20,2004, 塔楼,2, 3个月以前发布,4920000.0,40111,VR房源 房本满两年 
联发名苑 大3房 带平台 户型方正实用 交通方便,联发名苑,粤垦,3室2厅 ,93.56, 东南 , 其他 ,9,1996, 塔楼,1, 2个月以前发布,3380000.0,36127,VR看装修 房本满五年 
华颖花园 加装电梯，产权清晰，通透格局,华颖花园,员村,2室2厅 ,83.0, 南 , 简装 ,9,1999, 塔楼,23, 5个月以前发布,3850000.0,46386,VR房源 房本满五年 
188万买市区两房，安静南北对流，业主诚意出售,员村新村,员村,2室1厅 ,40.87, 东 北 , 其他 ,5,1980, 板楼,14, 5个月以前发布,1880000.0,46000,VR看装修 房本满两年 
橡树园 电梯三房 东南朝向 户型实用,橡树园,沙太南,3室1厅 ,92.75, 东南 , 简装 ,17,2004, 塔楼,10, 2个月以前发布,3500000.0,37736,VR看装修 房本满两年 
侨乐新村三房 近地铁口小区 格局方正 交通便利,侨乐新村,沙太南,3室1厅 ,64.18, 西北 , 其他 ,9,1995, 塔楼,5, 2个月以前发布,2300000.0,35837,VR看装修 房本满五年 
天河山庄  环境好 白云山脚 南北通透 近地铁环线,天河山庄,沙河,2室2厅 ,71.47, 南 北 , 简装 ,7,1996, 塔楼,11, 2个月以前发布,2080000.0,29104,VR房源 房本满五年 
近地铁6号线天平架站 出行便利,侨乐新村,沙太南,2室2厅 ,65.07, 北 , 其他 ,9,1995, 塔楼,11, 一年前发布,2650000.0,40726,VR看装修 房本满两年 
交通方便，电梯房，视野比较好，朝南采光比较好,东华居,东圃,2室1厅 ,78.0, 东南 , 其他 ,9,2000, 塔楼,20, 5个月以前发布,2980000.0,38206,VR看装修 房本满五年 
侨乐新村二期 楼龄新 房屋装修保养好中间楼层采光好,侨乐新村,沙太南,3室2厅 ,96.92, 西北 , 其他 ,9,1995, 塔楼,8, 2个月以前发布,2940000.0,30335,VR看装修 房本满五年 
半山宜居鸟语花香社区，南向三房高层视野无遮挡。,保利林海山庄,龙洞,3室2厅 ,99.52, 东南 , 简装 ,25,1996, 塔楼,50, 4个月以前发布,5080000.0,51046,VR看装修 房本满五年 
侨乐新村  1楼大面积房子 房间已打通,侨乐新村,沙太南,3室1厅 ,82.95, 东 , 其他 ,9,1995, 塔楼,2, 11个月以前发布,3900000.0,47017,VR看装修 房本满两年 
岗顶2007年空中花园小区-高层双阳台视野开阔#,阳光都会广场,石牌,3室2厅 ,105.2, 西北 , 简装 ,20,2007, 塔楼,39, 1个月以前发布,6600000.0,62738,近地铁 VR看装修 房本满五年 
棠德花园 2室2厅 南,棠德花园,棠下,2室2厅 ,56.78, 南 , 简装 ,9,1997, 板楼,47, 9个月以前发布,1900000.0,33463,VR看装修 房本满五年 
实用南向三房，明厨明厕，采光好，诚心卖价格可谈,棠德花园,棠下,3室2厅 ,57.0, 东南 , 简装 ,9,1997, 塔楼,123, 一年前发布,1650000.0,28948,VR看装修 房本满两年 
暨南花园低楼层三房两厅，带大花园,暨南花园,石牌,3室2厅 ,94.0, 南 西 , 简装 ,10,1997, 塔楼,4, 2个月以前发布,6100000.0,64894,VR看装修 房本满两年 
满五年唯一，电梯三房，保养好，户型方正，采光好,侨源新村,粤垦,3室2厅 ,92.25, 东 西 , 精装 ,10,1995, 塔楼,17, 2个月以前发布,2960000.0,32087,VR看装修 房本满五年 
羊城花园 南向安静大三房 户型方正实用 通风采光佳,羊城花园,东圃,3室2厅 ,90.0, 南 , 其他 ,6,1999, 塔楼,30, 8个月以前发布,3500000.0,38889,VR看装修 房本满五年 
伍仙3房 东向采光好 满五唯一,伍仙花园A区,沙太南,3室1厅 ,94.37, 东 , 其他 ,7,2002, 塔楼,11, 4个月以前发布,3720000.0,39420,VR房源 房本满五年 
雅怡居E区 电梯已经使用 中间楼层,雅怡居,东圃,2室1厅 ,64.32, 西北 , 其他 ,9,2000, 塔楼,4, 2个月以前发布,2450000.0,38091,VR看装修 房本满两年 
华工南秀村旁 南向两房 相对安静 电梯楼 方正实用,消防局宿舍,五山,2室1厅 ,62.08, 南 , 精装 ,9,2002, 塔楼,34, 一年前发布,3000000.0,48325,VR看装修 房本满两年 
越秀区 濂泉居 白云山脚 方正实用三房 业主急卖,濂泉居,沙河,3室1厅 ,109.89, 北 , 简装 ,7,1996, 塔楼,14, 10个月以前发布,2900000.0,26391,VR看装修 房本满两年 
楼层好，望花园采光很好。配套设施齐全，交通便利,羊城花园,东圃,3室1厅 ,82.2, 北 , 精装 ,6,2000, 塔楼,21, 8个月以前发布,3500000.0,42580,VR看装修 房本满五年 
嘉诚国际公寓 住宅性质 环境安静,嘉诚国际公寓,水荫,3室2厅 ,159.45, 东南 , 其他 ,29,2007, 塔楼,8, 5个月以前发布,7790000.0,48856,VR房源 房本满两年 
侨明苑 采光好 燕塘双地铁  户型方正,侨明苑,粤垦,2室1厅 ,83.09, 东 东南 , 其他 ,9,1998, 塔楼,18, 一年前发布,2480000.0,29848,VR看装修 房本满五年 
纵横白领公寓精装修三房，南向，光线好，楼层好,纵横白领公寓,东圃,3室2厅 ,77.76, 南 , 精装 ,9,2002, 塔楼,23, 一年前发布,2580000.0,33180,VR看装修 房本满两年 
学院环境，书香气息浓厚，南向三房 眺望山景,华文学院,燕塘,3室2厅 ,94.01, 南 , 其他 ,9,1992, 塔楼,9, 5个月以前发布,5360000.0,57016,VR看装修 房本满五年 
业主诚心卖，装修保养好，价格可谈,建丽花园,长兴,3室1厅 ,92.13, 北 , 精装 ,11,2005, 塔楼,7, 2个月以前发布,4250000.0,46131,VR房源 房本满两年 
业主诚心出售 五星阁高层 价格可谈,五星阁,燕塘,3室2厅 ,109.68, 西南 , 精装 ,26,2000, 塔楼,20, 9个月以前发布,4100000.0,37382,近地铁 VR房源 房本满五年 
精装修大两房，产权清晰无抵押，业主诚心放卖！,加拿大花园,华景新城,2室1厅 ,92.62, 西南 , 精装 ,25,1995, 塔楼,6, 1个月以前发布,4100000.0,44267,VR房源 房本满两年 
天雅居，满五唯一，带大平台房子，户型方正,天雅居,东圃,3室1厅 ,98.84, 南 , 其他 ,13,2003, 塔楼,14, 2个月以前发布,3600000.0,36423,VR看装修 房本满五年 
天河电梯实用三房 满五年唯一 东南向单边位 安静,金园大厦,沙河,3室2厅 ,95.55, 东南 , 简装 ,18,1999, 塔楼,4, 3个月以前发布,3300000.0,34537,VR看装修 房本满五年 
校园环境 精装三房，正南向 户型方正实用,华文学院,燕塘,3室2厅 ,111.0, 南 , 简装 ,9,1999, 塔楼,98, 一年前发布,3800000.0,34235,VR看装修 房本满五年 
正规两房 户型方正 无抵押贷款 产权清晰,棠德花园,棠下,2室1厅 ,55.63, 东 , 简装 ,10,1997, 塔楼,24, 一年前发布,1680000.0,30200,VR看装修 房本满五年 
华文学院  户型方正，交通方便,华文学院,燕塘,2室2厅 ,64.65, 东北 , 简装 ,9,1999, 塔楼,25, 9个月以前发布,2430000.0,37588,VR看装修 房本满五年 
天一新村   格局方正   小区有保安管理,天一新村,粤垦,3室1厅 ,96.01, 北 , 其他 ,10,2001, 塔楼,4, 一年前发布,4780000.0,49787,VR房源 房本满五年 
小区环境好 三房南北对流 低楼层,先烈东二横路11号大院,沙河,3室2厅 ,62.0, 南 北 , 精装 ,6,1985, 板楼,6, 7个月以前发布,2790000.0,45000,VR看装修 房本满五年 
小区管理，南北向，中楼层出行方便，格局方正,银利花苑,沙太南,2室1厅 ,77.03, 南 北 , 简装 ,9,1997, 塔楼,16, 一年前发布,2295000.0,29794,近地铁 VR看装修 房本满五年 
乐意居电梯实用2房，户型方正，采光充足,乐意居花园,长兴,2室2厅 ,67.0, 北 , 精装 ,9,1999, 塔楼,8, 一年前发布,2580000.0,38508,VR看装修 房本满五年 
水荫公安局宿舍 南向采光好 居家舒适度高,水荫公安局宿舍,水荫,3室1厅 ,79.3, 南 , 简装 ,9,1986, 塔楼,31, 9个月以前发布,2650000.0,33418,近地铁 VR看装修 房本满五年 
安骏大厦新出高层三房南向单位 看房预约,安骏大厦,珠江新城东,3室1厅 ,109.0, 南 北 , 其他 ,28,1999, 塔楼,17, 2个月以前发布,8700000.0,79817,VR房源 房本满两年 
翠华苑南北对流大三房 带大平台 业主诚意出售,翠华苑,五山,3室2厅 ,101.44, 南 北 , 简装 ,6,1993, 塔楼,16, 一年前发布,6300000.0,62106,VR房源 房本满两年 
暨南大学宿舍 校园环境 南向 低楼层 三房，看房方便,暨南大学宿舍,石牌,3室1厅 ,78.42, 南 , 其他 ,5,1998, 板楼,44, 4个月以前发布,4450000.0,56746,VR看装修 房本满五年 
天河北苑小区安静舒适，自住保养好,天河北苑,沙太南,3室2厅 ,78.25, 东南 , 精装 ,9,1998, 塔楼,78, 一年前发布,2250000.0,28754,VR房源 房本满两年 
业主诚意放卖  复式南向五房  无按揭,丽晶华庭,珠江新城西,5室2厅 ,238.0, 南 , 其他 ,30,1998, 塔楼,37, 一年前发布,18800000.0,78992,近地铁 VR房源 房本满两年 
天河北苑 正规电梯三房 中高楼层 采光视野好 诚心出售,天河北苑,沙太南,3室1厅 ,73.09, 北 , 精装 ,9,2004, 塔楼,9, 3个月以前发布,2960000.0,40499,VR房源 房本满五年 
天河北 东站交通枢纽旁 南向精装电梯两房 遥望小蛮腰,富信广场,沙河,2室2厅 ,89.06, 南 , 精装 ,30,1994, 塔楼,4, 2个月以前发布,4280000.0,48058,近地铁 VR房源 房本满两年 
沙河顶地铁距离200米 交通出行方便 生活配套齐全,先烈东路,沙河,2室1厅 ,47.0, 东南 , 其他 ,6,1999, 板楼,5, 一年前发布,2000000.0,42554,近地铁 VR看装修 房本满五年 
舒适大两房，满五唯一，小区安静，望小区花园。,冠庭园,沙河,2室1厅 ,65.5, 西 , 其他 ,6,2001, 塔楼,5, 6个月以前发布,2600000.0,39695,VR房源 房本满两年 
业主诚心出售，户型方正，双阳台，交通方便房子装修好,冠庭园,沙河,2室2厅 ,74.92, 南 , 其他 ,6,2001, 塔楼,19, 9个月以前发布,3050000.0,40711,VR房源 房本满五年 
看向花园的大三房，业主诚意出售，安静舒适！,华南御景园,岑村,3室2厅 ,109.31, 北 , 其他 ,11,2009, 塔楼,19, 3个月以前发布,4480000.0,40985,VR房源 房本满两年 
此房满五不唯一，东南朝向，厅出阳台，通风采光好,鸿燕居,粤垦,3室2厅 ,89.49, 东南 , 其他 ,6,1998, 塔楼,29, 6个月以前发布,3000000.0,33524,近地铁 VR看装修 房本满两年 
舒适大两房，满五唯一，小区安静，望小区花园。,冠庭园,沙河,2室1厅 ,65.5, 西 , 其他 ,6,2001, 塔楼,5, 6个月以前发布,2600000.0,39695,VR房源 房本满两年 
业主诚心出售，户型方正，双阳台，交通方便房子装修好,冠庭园,沙河,2室2厅 ,74.92, 南 , 其他 ,6,2001, 塔楼,19, 9个月以前发布,3050000.0,40711,VR房源 房本满五年 
天河北苑小区安静舒适，自住保养好,天河北苑,沙太南,3室2厅 ,78.25, 东南 , 精装 ,9,1998, 塔楼,78, 一年前发布,2250000.0,28754,VR房源 房本满两年 
棠德花园 精装两房 望花园 视野开阔 位置安静,棠德花园,棠下,2室1厅 ,63.31, 西 , 其他 ,9,1997, 塔楼,4, 2个月以前发布,1950000.0,30801,VR看装修 房本满两年 
富力新村，此房满五年唯一 无按揭，总价低！,富力新村,东圃,2室1厅 ,57.94, 南 北 , 精装 ,9,1997, 塔楼,59, 7个月以前发布,1760000.0,30377,VR看装修 房本满五年 
看向花园的大三房，业主诚意出售，安静舒适！,华南御景园,岑村,3室2厅 ,109.31, 北 , 其他 ,11,2009, 塔楼,19, 3个月以前发布,4480000.0,40985,VR房源 房本满两年 
天河区 电梯大院管理 南向三房 户型方便 南北对流,金园大厦,沙河,3室1厅 ,94.66, 东南 西北 , 其他 ,18,1997, 塔楼,3, 8个月以前发布,3500000.0,36975,VR看装修 房本满两年 
此房过五唯一，楼层好，视野佳望小区内无遮挡安静,天盛大厦,天河南,2室2厅 ,96.44, 西 , 其他 ,22,1997, 塔楼,8, 3个月以前发布,4500000.0,46662,近地铁 VR看装修 房本满五年 
此房户型方正，花园式小区，交通便利,嘉怡花苑,天润路,3室1厅 ,70.25, 东南 , 其他 ,9,1995, 塔楼,52, 7个月以前发布,3780000.0,53808,近地铁 VR看装修 房本满两年 
棠德花园小区大型社区棠东地铁站 交通便利,棠德花园,棠下,3室1厅 ,71.55, 东 东南 , 精装 ,9,1997, 塔楼,11, 8个月以前发布,2400000.0,33543,VR房源 房本满两年 
集装箱宿舍三房 地理位置好 格局方正 交通便利,天平架集装箱宿舍,燕塘,3室1厅 ,60.95, 东南 , 其他 ,9,1993, 塔楼,107, 8个月以前发布,1650000.0,27072,VR看装修 房本满两年 
天河北苑 正规电梯三房 中高楼层 采光视野好 诚心出售,天河北苑,沙太南,3室1厅 ,73.09, 北 , 精装 ,9,2004, 塔楼,9, 3个月以前发布,2960000.0,40499,VR房源 房本满五年 
天河北 东站交通枢纽旁 南向精装电梯两房 遥望小蛮腰,富信广场,沙河,2室2厅 ,89.06, 南 , 精装 ,30,1994, 塔楼,4, 2个月以前发布,4280000.0,48058,近地铁 VR房源 房本满两年 
此房满五唯一，实用大两房，户型方正，通风采光好，,建丽花园,长兴,2室1厅 ,87.0, 北 , 精装 ,11,2005, 塔楼,8, 2个月以前发布,3690000.0,42414,VR看装修 房本满五年 
侨翠苑，楼层好，视野开阔，小区管理,侨翠苑,沙河,3室1厅 ,81.63, 南 , 精装 ,9,1994, 塔楼,4, 10个月以前发布,2500000.0,30626,近地铁 VR看装修 房本满两年 
侨翠苑   精装3房   出租中    中楼层,侨翠苑,沙河,3室1厅 ,81.63, 南 , 简装 ,9,1994, 塔楼,0, 4个月以前发布,3100000.0,37977,近地铁 VR房源 房本满五年 
燕塘地铁南北向三房 配套成熟 无公摊,金建苑,粤垦,3室1厅 ,80.36, 南 , 其他 ,8,1995, 塔楼,7, 一年前发布,3200000.0,39821,VR看装修 房本满两年 
跑马地花园，户型方正的三房两卫，满五唯一,跑马地花园,珠江新城东,3室2厅 ,118.92, 南 , 精装 ,32,1999, 塔楼,85, 9个月以前发布,6610000.0,55584,VR房源 房本满五年 
棠德花园 电梯房飞机户型 厅出阳台 望小区花园,棠德花园,棠下,2室1厅 ,65.53, 北 , 精装 ,9,1997, 板楼,24, 一年前发布,2400000.0,36625,VR看装修 房本满两年 
房子东南朝向 安静望暨大 户型方正,暨南花园,石牌,2室2厅 ,95.0, 东南 , 其他 ,28,1997, 塔楼,8, 9个月以前发布,6000000.0,63158,VR看装修 房本满五年 
侨源新村 电梯三房 户型方正 交通便利,侨源新村,粤垦,3室2厅 ,86.21, 南 北 , 简装 ,9,1995, 塔楼,5, 2个月以前发布,2800000.0,32479,VR看装修 房本满两年 
三层复式 带花园露台 环境安静 精装修 拎包入住,天一新村,粤垦,4室2厅 ,115.58, 西 , 精装 ,6,2008, 塔楼,17, 8个月以前发布,6000000.0,51913,VR房源 房本满五年 
鸿燕居 电梯两房 西南向精装修,鸿燕居,粤垦,2室1厅 ,84.94, 西南 , 精装 ,11,1998, 塔楼,32, 一年前发布,3050000.0,35908,VR看装修 房本满五年 
体育西育兰小区 低楼层三房 交通便利,育兰小区,天河南,3室2厅 ,97.0, 东南 , 简装 ,8,1996, 塔楼,56, 一年前发布,4450000.0,45877,VR房源 房本满五年 
陶苑小区 户型方正 采光赞 近天平架地铁口,陶苑小区,沙太南,2室1厅 ,74.1, 西北 , 简装 ,9,1993, 塔楼,3, 2个月以前发布,1980000.0,26721,VR看装修 房本满两年 
此房是兴禺大厦里9层高加装电梯的 间隔好 实用两房,禺东西路,林和,2室1厅 ,73.0, 北 , 简装 ,9,1990, 塔楼,14, 7个月以前发布,2250000.0,30822,VR看装修 房本满五年 
广园东路 楼梯低层，实用3+1房，南北通透格局,广园东路,沙河,4室1厅 ,89.1, 南 北 , 简装 ,8,1999, 塔楼,4, 6个月以前发布,2900000.0,32548,VR看装修 房本满五年 
